name,type,brand,description,link,price,in_stock,discount
GF-NAT-20G Акустическая гитара Presto,Акустическая гитара,Presto,"GF-NAT-20G Акустическая гитара, цвет натуральный, глянцевая, Presto

Верхняя дека: берёза.
Задняя дека и обечайка: берёза.
Ширина грифа у верхнего порожка: 52 мм.
Отделка: глянцевая.
Цвет: натуральный.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/46968/,9410,TRUE,FALSE
"AF510E-OP Электро-акустическая гитара, Cort",Электроакустическая гитара,Cort,"Standard Series – самая старая серия акустических гитар Cort, определяется превосходным качеством и доступной ценой. Гитары линейки Standard доступны для начинающих и любителей, но предлагают отличные характеристики, а разнообразие моделей позволяет выбрать инструмент для любой ситуации.

Концертная форма корпуса.
По сравнению с дредноутом, у концертного корпуса более сфокусированное и сбалансированное звучание, с менее акцентированным басом, сильными средними частотами и более чистыми и яркими верхами. Такое сбалансированное звучание корпуса концертной гитары делает ее идеальным инструментом для игры перебором, а также для соло.

Верхняя дека из ели.
Ель обладает идеальным балансом между прочностью и гибкостью. Этим объясняется чрезвычайная популярность применения этой древесины в качестве материала для верхней деки акустических гитар. Имея столь универсальный характер звучания, ель отлично подходит для различных музыкальных жанров и стилей игры.

Нижняя дека и обечайка из красного дерева.
Яркое, но естественное, с сильной и теплой серединой, красное дерево остается стандартом для задней деки и обечайки акустических гитар в течении многих десятилетий.

Струны с покрытием.
Высококачественное покрытие струн противостоит влажности, грязи и поту, увеличивает срок службы и улучшает играбельность струн.

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна.

Электроника Cort CE304T EQ.
Трех-полосный эквалайзер обеспечивает тональную гибкость, а встроенный тюнер добавляет удобства. Высококачественная систем эквалайзера обеспечивает богатую середину и четкие и прозрачные верха.

Форма корпуса: фолк.
20 ладов.
Верхняя дека: ель.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
Накладка грифа и бридж: палисандр.
Крепление грифа: ласточкин хвост.
Ширина грифа у верхнего порожка: 43мм.
Черная окантовка.
Струны с покрытием.
Электроника: Cort CE304T EQ.
Звукосниматель: керамический.
Система пружин: улучшенная X-образная.
Цвет: натуральный.
Отделка: открытые поры",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/37192/,14560,TRUE,FALSE
Электро-акустическая гитара 12-струнная Cort GA-MEDX-12-OP Grand Regal Series,Электроакустическая гитара,Cort,"Гитары GA-MEDX расширяют популярную линейку Grand Regal с корпусами гранд аудиториум. Инструменты более доступной ценовой категории с верхней декой из ели, задней декой и обечайкой из красного дерева и полнофункциональным предусилителем CE306T. Идеальная гитара для тех, кто ищет качественную, но без изысков электро-акустическую рабочую лошадку.

Корпус Grand Auditorium с вырезом.
Размеры корпуса Grand Regal (глубина 117мм, ширина 292мм в верхней части и 405мм в нижней) находятся как раз между большими дредноутами и более камерными концертными гитарами. Это делает инструменты серии Grand Regal идеально подходящими как для игры аккордами, так и для перебора, идеальным выбором для универсальных музыкантов, которым нужен один инструмент для игры в различных стилях.

Верхняя дека из ели.
Ель обладает идеальным балансом между прочностью и гибкостью. Этим объясняется чрезвычайная популярность применения этой древесины в качестве материала для верхней деки акустических гитар. Имея столь универсальный характер звучания, ель отлично подходит для различных музыкальных жанров и стилей игры.

Нижняя дека и обечайка из красного дерева.
Яркое, но естественное, с сильной и теплой серединой, красное дерево остается стандартом для задней деки и обечайки акустических гитар в течении многих десятилетий.

Предусилитель CE306T.
CE306T - очень универсальный акустический предусилитель с большим и четким жидкокристаллическим дисплеем, который очень легко читается. Благодаря 4-полосному эквалайзеру электроника предлагает большой диапазон звучания, что особенно важно для музыкантов, играющих в разных музыкальных стилях.

Бридж с пазом.
Эксклюзивная форма бриджа с пазом позволяет увеличить угол струны на нижнем порожке. Это снижает натяжение струн вдоль грифа, уменьшая усталость пальцев и увеличивает длительность сустейна.

Форма корпуса: гранд аудиториум, с вырезом.
Мензура: 648мм.
Ширина грифа у верхнего порожка: 45мм.
Верхняя дека: ель.
Задняя дека и обечайка: красное дерево.
Гриф: красное дерево.
20 ладов.
Накладка грифа и бридж: мербау.
Крепление грифа: ласточкин хвост.
Окантовка: многослойная.
Литая колковая механика, перламутровая розетка.
Электроника: Cort CE306T.
Цвет: натуральный.",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/12753/,18150,TRUE,FALSE
Гитара акустическая COWBOY 3810C SB,Акустическая гитара,COWBOY,"Тип гитары: акустическая
Материал струн: металлические
Размер гитары: 7/8
Длина гитары: 38 дюймов (97 см)
Ширина верхнего порожка: 43 мм
Цвет гитары: санберст
Покрытие гитары: глянцевый лак
Количество струн: 6
Материал верхней деки: липа
Материал нижней деки: липа
Форма корпуса: уменьшенный аудиториум с вырезом
Страна изготовления: Китай",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/30622/,3550,TRUE,FALSE
Акустическая гитара Sevillia IW-240M NA,Акустическая гитара,Sevillia,"Количество струн 6
 Верхняя дека Ель
 Нижняя дека и обечайка Меранти
 Гриф Меранти
 Накладка грифа Палисандр
 Мензура 650 мм
 Бридж Палисандр
 Цвет гитары Натуральный (NA)
 Страна-производитель Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/18827/,9550,TRUE,FALSE
Crafter HT-100CE/OP.N - электроакустическая гитара,Электроакустическая гитара,Crafter,"CRAFTER HT-100CE - электроакустическая гитара, которая подойдет начинающим музыкантам и обучающимся игре на инструменте. Гитара имеет форму корпуса «Grand Auditorium», одну из самых популярных форм среди акустических гитар. Эти корпуса характеризуются несколько меньшим размером, чем дредноут, однако многие гитаристы считают их более удобными и сбалансированными по частотам, хотя и не таким громкими.

При своей демократичной стоимости этот инструмент существенно превосходит по качеству аналоги в своей ценовой категории. Гитара легко настраивается и надежно держит строй, элегантно выглядит и хорошо звучит.

Корпус модели HT-100 выполнен из красного дерева. Верхняя дека – из ели Энгельмана. Гриф также выполнен из красного дерева, накладка - технодерево, лады – без инкрустации.

Модель представлена в элегантном натуральном цвете с матовой отделкой, фурнитура - хромированная.

Отделка Open Pore - это так называемая, лёгкая полировка, благодаря чему производитель снижает затраты на производство. При этом сохраняя чистоту и качество звучания инструмента.

Технические характеристики:
Форма корпуса: Гранд Аудиториум
Верхняя дека: ель Энгельмана
Корпус: красное дерево
Гриф: красное дерево
Накладка на гриф: технодерево
Мензура: 647,7 мм
Фурнитура: хром
Цвет: натруальный
Отделка: матовая
Электроника: CR-T NV
Страна-изготовитель: Китай",https://muzlider.ru/catalog/aktsiya/22561/,25577,TRUE,TRUE
Акустическая гитара Sevillia IW-240M NS,Акустическая гитара,Sevillia,"Количество струн 6
 Верхняя дека Меранти
 Нижняя дека и обечайка Меранти
 Гриф Меранти
 Накладка грифа Палисандр
 Мензура 650 мм
 Бридж Палисандр
 Цвет гитары Натуральный (NS)
 Страна-производитель Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/18824/,9550,TRUE,FALSE
Klever KA-714 Гитара акустическая,Акустическая гитара,Klever,"Гитары формы GRAND AUDITORIUM – это универсальное решение для любого музыканта. Ключевые слова для данного корпуса - это баланс и универсальность. Баланс заключается в высокой чистоте звука с достаточным количеством высоких и низких частот. Универсальность же заключается в том, что инструменты данной формы идеально подойдут как для игры аккордами и медиатором, так и для игры фингерстайлом.

Акация максимально близка к красному дереву. Сильный верхастый звук с яркой серединой, в тоже время теплый. Универсальное решение для любого музыканта

Количество струн 6
Форма корпуса Аудиториум
Верхняя дека Цельная акация
Нижняя дека и обечайка Акация
Гриф Махагон
Накладка грифа Палисандр
Порожек ABC
Лады 20
Бридж Махагон
Цвет фурнитуры Золотой
Цвет гитары  Натуральный
Дополнительно Тип покрытия:
Глянцевый лак
Окантовка на задней деке; обечайке и грифе; Инкрустация на грифе в форме розы
Анкер: Есть
Страна-производитель Китай",https://muzlider.ru/catalog/aktsiya/30686/,20925,TRUE,TRUE
Sevillia IW-240M SB Гитара акустическая,Акустическая гитара,Sevillia,"Гитара сочетает в себе красивый дизайн, высокое качество материалов и отличное звучание. Благодаря своей конструкции и использованию качественных компонентов, она подойдет как для начинающих музыкантов, так и для опытных исполнителей. Sevillia IW-240M - отличный выбор для тех, кто ценит комфорт игры и качество звучания.

Модель IW-240M
Количество струн 6
Форма корпуса Дредноут (41"")
Верхняя дека Ель
Нижняя дека и обечайка Меранти
Анкер есть
Гриф Меранти
Накладка грифа Палисандр
Мензура 650 мм
Бридж Палисандр
Струны Металл
Цвет гитары Санбёрст (SB)
Страна-производитель Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/46801/,9550,TRUE,FALSE
Акустическая гитара Sevillia IW-235 NA,Акустическая гитара,Sevillia,"Количество струн 6
 Верхняя дека ель
 Нижняя дека и обечайка меранти
 Гриф дерево Нато
 Накладка грифа палисандр
 Мензура 650 мм
 Бридж палисандр
 Цвет гитары натуральный (NA)
 Страна-производитель Индонезия",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/18825/,8290,TRUE,FALSE
Акустическая гитара Crafter D-8 NС,Акустическая гитара,Crafter,"Гитара CRAFTER D 8/NC – инструмент, который отлично подойдет для любых целей: занятий, концертов, записи или просто песен в дружеской компании. Форма корпуса «дредноут» – это, пожалуй, самая популярная форма акустических гитар. Разработанный компанией Martin в 20-х годах прошлого столетия, «дредноут» до сих пор считается стандартом для вестерн-гитар, который с успехом используется большинством производителей и огромным числом музыкантов, играющих в самых различных стилях. Эти корпуса имеют несколько больший размер, чем классические или оркестровые гитары, а звучание имеет явный акцент на низкие частоты.

Верхняя дека гитары CRAFTER D 8/NC выполнена из массива ели Энгельмана, которая в производстве музыкальных инструментов ценится выше, чем обычная ель. Гитары с толстой верхней декой из такой ели обладают большей чувствительностью, отзывчивостью, их звучание прекрасно сбалансировано по всем частотам. У ели Энгельмана древесина более темная, желтовато-коричневого цвета. Дерево имеет меньшую жесткость и плотность по сравнению с обычной или ситхинской елью, за счет чего инструмент более восприимчив ко всем нюансам звукоизвлечения. Натуральный цвет гитары с прозрачным глянцевым лаком хорошо передает естественную красоту благородного дерева, гармонично сочетаясь с любой окружающей обстановкой.

Сочетание массива ели Энгельмана и красного дерева обеспечивает точное и универсальное звучание с выделением каждой ноты, что полностью отвечает требованиям многих музыкантов.

Эту гитару вы можете купить в наших розничных магазинах или смело заказать в интернет магазине – все гитары проходят предпродажный осмотр, что гарантирует получение качественного инструмента. В комплекте с гитарой прилагается фирменный утепленный чехол, который надежно защищает её с момента выхода с фабрики.

Характеристики:

Форма корпуса – Dreadnought
Верхняя дека – массив ели Энгельмана
Нижняя дека и обечайка – красное дерево
Гриф – красное дерево
Накладка на гриф – палисандр
Количество ладов – 20
Мензура – 647,7 мм
Ширина грифа – 43 мм
Подставка – индийский палисандр
M-образная схема крепления пружин
Хромированные колки
Абалоновые маркеры ладов
Глянцевая отделка
Струны – D'Addario EXP-16 (.012 - .053)
Цвет – натуральный
Фирменный чехол в комплекте
Страна-изготовитель – Китай",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/13200/,46690,FALSE,FALSE
Гитара акустическая COWBOY 3810C N,Акустическая гитара,COWBOY,"Верхняя дека: липа
Нижняя дека и обечайка: липа
Накладка грифа: пластик.
Подставка: пластик.
Колковая механика: открытая.
Анкерный стержень.
Отделка: глянцевый лак.
Цвет: натуральный.
Страна: Китай",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/30621/,3550,TRUE,FALSE
Акустическая гитара Cort AF510-BKS Standard Series,Акустическая гитара,Cort,"Тип: акустическая гитара, дредноут 
 корпус: концертный 
 Верхняя дека: ель 
 Нижняя дека и обечайка: махагон 
 Гриф: махагон (""С""-форма) 
 Накладка: палисандр 
 Бридж: палисандр 
 Колки: литые, никель 
 Мензура: 647,7 мм(25.5"") 
 Струны: 80/20 Bronze Light 
 Крепления: традиционные крестообразные 
 Цвет: черный сатин",https://muzlider.ru/catalog/gitary/akusticheskie_gitary/10237/,10990,TRUE,FALSE
